sample	genotype	reporter	txn_inh	m6A_inh	transl_inh	time	time_num	target	experiment	replicate	Ct	expression	is_outlier
C2_2h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	2h	2	Neon2	2024-07-12	rep2	20.9936488182794	0.478945778606229	FALSE
C2_2h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	2h	2	mCherry	2024-07-12	rep2	17.6920564837559	4.72894125790478	FALSE
C2_2h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	2h	2	YTHDF2	2024-07-12	rep2	22.9845141823013	0.120495768734262	FALSE
C2_2h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	2h	2	TDH1	2024-07-12	rep3	22.6929720959926	0.147480686319593	FALSE
C2_2h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	2h	2	GAPDH	2024-07-12	rep3	21.8806732485582	0.262988174650521	FALSE
C2_2h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	2h	2	Neon2	2024-07-12	rep3	20.9833224770943	0.482719304562635	FALSE
C2_2h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	2h	2	mCherry	2024-07-12	rep3	17.849080976893	4.24677331551681	FALSE
C2_2h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	2h	2	YTHDF2	2024-07-12	rep3	23.0606771721377	0.114313050529019	FALSE
C2_4h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	4h	4	TDH1	2024-07-12	rep1	22.7939448829502	0.138178832927685	FALSE
C2_4h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	4h	4	GAPDH	2024-07-12	rep1	22.0023253619539	0.238344213383706	FALSE
C2_4h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	4h	4	Neon2	2024-07-12	rep1	22.4223146932203	0.177915707982872	FALSE
C2_4h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	4h	4	mCherry	2024-07-12	rep1	18.1493879721038	3.4394635019163	FALSE
C2_4h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	4h	4	YTHDF2	2024-07-12	rep1	23.9467629150723	0.0618668836795255	FALSE
C2_4h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	4h	4	TDH1	2024-07-12	rep2	22.4255061116576	0.177523401833823	FALSE
C2_4h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	4h	4	GAPDH	2024-07-12	rep2	22.123033226332	0.218929778614571	FALSE
C2_4h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	4h	4	Neon2	2024-07-12	rep2	22.6006064445452	0.157524003102892	FALSE
C2_4h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	4h	4	mCherry	2024-07-12	rep2	18.9673489625932	1.95184245074939	FALSE
C2_4h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	4h	4	YTHDF2	2024-07-12	rep2	24.2728603217061	0.0494531489199948	FALSE
C2_4h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	4h	4	TDH1	2024-07-12	rep3	23.170094186203	0.105956671371914	FALSE
C2_4h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	4h	4	GAPDH	2024-07-12	rep3	22.2164803319435	0.205200095044979	FALSE
C2_4h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	4h	4	Neon2	2024-07-12	rep3	23.0262679459595	0.1170773604858	FALSE
C2_4h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	4h	4	mCherry	2024-07-12	rep3	18.8682311218104	2.09076111411526	FALSE
C2_4h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	4h	4	YTHDF2	2024-07-12	rep3	24.2605342439366	0.0498340201982333	FALSE
C2_0h_ActD_STM_none_WT	WT	C2	ActD	STM	mock	0h	0	TDH1	2024-07-12	rep1	22.6526600115601	0.151694057751539	FALSE
C2_0h_ActD_STM_none_WT	WT	C2	ActD	STM	mock	0h	0	GAPDH	2024-07-12	rep1	21.4480834561549	0.350376536915045	FALSE
C2_0h_ActD_STM_none_WT	WT	C2	ActD	STM	mock	0h	0	Neon2	2024-07-12	rep1	19.4649700955083	1.38197195669793	FALSE
C2_0h_ActD_STM_none_WT	WT	C2	ActD	STM	mock	0h	0	mCherry	2024-07-12	rep1	17.1050748152847	7.09348146082427	FALSE
C2_0h_ActD_STM_none_WT	WT	C2	ActD	STM	mock	0h	0	YTHDF2	2024-07-12	rep1	21.4210151097012	0.356238212041744	FALSE
C2_0h_ActD_STM_none_WT	WT	C2	ActD	STM	mock	0h	0	TDH1	2024-07-12	rep2	22.945387872128	0.123808571283319	FALSE
C2_0h_ActD_STM_none_WT	WT	C2	ActD	STM	mock	0h	0	GAPDH	2024-07-12	rep2	22.039339922268	0.232019705089551	FALSE
C2_0h_ActD_STM_none_WT	WT	C2	ActD	STM	mock	0h	0	Neon2	2024-07-12	rep2	19.4560017320296	1.3910649252217	FALSE
C2_0h_ActD_STM_none_WT	WT	C2	ActD	STM	mock	0h	0	mCherry	2024-07-12	rep2	17.2740543693538	6.31004660799795	FALSE
C2_0h_ActD_STM_none_WT	WT	C2	ActD	STM	mock	0h	0	YTHDF2	2024-07-12	rep2	21.2689091695304	0.397728785235959	FALSE
C2_0h_ActD_STM_none_WT	WT	C2	ActD	STM	mock	0h	0	TDH1	2024-07-12	rep3	23.6425832397427	0.0763916206398243	FALSE
C2_0h_ActD_STM_none_WT	WT	C2	ActD	STM	mock	0h	0	GAPDH	2024-07-12	rep3	22.3563189146875	0.186265611544887	FALSE
C2_0h_ActD_STM_none_WT	WT	C2	ActD	STM	mock	0h	0	Neon2	2024-07-12	rep3	20.731750107601	0.574355975183932	FALSE
